"","PIB","Sucursales","Cajeros","Densidad_población","IED","Prod_mayor","Prod_menor","Prod_manof","Salario"
"76",1.31,1.38,2.8,54.5922297,1761.33,12.7,12.8,132,258.19
"77",5.62,1.5,3.57,137.1494502,167.9,6.7,8.3,95.7,265.74
"78",4.29,2.54,5.93,98.64849013,539.89,4.9,9.4,144.8,302.84
"79",2.35,1.33,3.57,721.4895198,2730.34,0.5,6.3,114.3,297.76
"80",2.21,1.94,3.31,76.74853214,417.24,6.1,4.1,95.4,264.89
"81",1.26,2.11,4.97,388.64048,508.03,6.9,5.3,111.1,304.28
"82",5.14,2.18,5.46,44.76869323,508.03,2.6,1.6,125.3,238.46
"83",4.92,2.65,10.03,78.81967474,3283.86,3.7,4,112.6,338.47
"84",3.97,1.5,2.77,42.23601599,296.54,4,1.3,105.6,249.6
"85",2.89,1.52,3.33,182.6066862,814.06,-4.5,5.8,123.8,279.74
"86",7,2.63,7.44,170.3179117,1441.97,2.4,5.1,114.7,338.22
"87",5.07,2.11,12.84,24.98017402,362.72,-3.3,9.4,106.2,232.39
"88",4.68,1.58,4.22,45.47685964,1886.1,5.2,6.8,104.1,289.58
"89",6.06,1.71,5.25,51.3766347,440.15,3.4,13.9,98.1,225.92
"90",3.55,1.78,6.37,15.37142789,610.82,7.4,5.8,111.2,260.19
"91",-0.67,1.54,4.16,96.66639601,729.56,7.4,1.8,109.3,274.44
"92",2.52,1.77,6.85,44.42019528,1120.7,13,5.2,88.5,281
"93",6.75,1.22,3.2,314.7886841,125.27,-0.4,3.7,127.9,253.57
"94",1.66,1.56,4.01,104.1107762,1575.89,3.2,4.5,90.7,317.66
"95",4.09,2.36,5.09,53.58459319,206.34,6.3,18.3,129,271.3
"96",1.37,1.57,3.38,21.07239344,132.77,9.8,10.6,71.4,269.54
"97",9.16,1.72,6.28,234.2940469,596.09,1.7,6.1,133,288.7
"98",4.36,1.59,7.57,50.41416297,1510.57,6.3,6.1,101.7,306.68
"99",3.18,2.34,9.33,10.67991238,467.41,-6.9,20.9,171.3,292.47
"100",-5.88,2.11,5.64,16.20710257,204.54,4.9,2.2,132.8,389.85
"101",0.09,1.15,2.25,70.30897279,137.35,5.3,-0.9,100.8,309.1
"102",4.92,1.74,6.81,15.16176617,1980.32,5.3,-6.2,123,269.62
"103",1.65,1.85,7.62,19.76218233,1345.16,-0.2,4.5,95.8,282.89
"104",6.11,3.02,6.48,134.8714106,-25.94,3.4,11.3,71,293.18
"105",4.39,2.8,10.55,5980.124745,6434.8,3.3,0.3,105.6,406.7
"106",3.77,1.49,4.28,14.64581264,265.98,12.3,5.2,74.4,245.51
"107",4.27,2.39,4.71,193.2114067,2450.85,-1.9,-8,125.7,263.04
